"Id","Name","Weight","BaseValue","Obtaining","DlcId"
"61","Chaurus Eggs","0.2","10","Falmer caves",""
"62","Charred Skeever Hide","0.5","1","Found at campfires",""
"63","Canis Root","0.1","5","Near rocky areas",""
"64","Butterfly Wing","0.1","3","Monarch Butterfly",""
"65","Burnt Spriggan Wood","0.5","20","Burnt Spriggans","3"
"66","Briar Heart","0.5","20","Forsworn Leaders",""
"67","Bone Meal","0.5","5","Draugr and skeletons",""
"68","Boar Tusk","0.5","20","Bristlebacks","3"
"69","Crimson Nirnroot","0.2","10","Blackreach",""
"70","Blue Mountain Flower","0.1","2","Mountain flower clumps",""
"71","Abecean Longfin","0.5","15","Lakes, rivers, streams, fish barrels",""
"72","Ancestor Moth Wing","0.1","2","Ancestor Glade","1"
"73","Ash Creep Cluster","0.3","20","Harvested from ash covered areas of Solstheim","3"
"74","Ash Hopper Jelly","0.3","20","Ash Hopper Corpses","3"
"75","Ashen Grass Pod","0.1","1","Harvested from ash covered areas of Solstheim","3"
"76","Bear Claws","0.1","2","Bears, Cave Bears, Snow Bears",""
"77","Bee","0.1","3","Beehive",""
"78","Beehive Husk","1","5","Beehive",""
"79","Berit's Ashes","0.5","5","Quest item given by Thadgeir; also found in Valerica's Study in Castle Volkihar.",""
"80","Bleeding Crown","0.3","10","Mushroom clusters",""
"81","Blisterwort","0.2","12","Caves and dark areas",""
"82","Blue Dartwing","0.1","1","Hovering above water",""
"83","Histcarp","0.3","6","Lakes, rivers, streams and fish barrels",""
"84","Cyrodilic Spadetail","0.3","15","Lakes, rivers, streams, fish barrels",""
"85","Deathbell","0.1","4","Wild, on planters",""
"86","Hawk Feathers","0.1","15","Hawks",""
"87","Hawk Beak","0.3","15","Hawks",""
"88","Hanging Moss","0.3","1","Vegetated areas, hanging in caves, from buildings",""
"89","Hagraven Feathers","0.1","20","Hagraven",""
"90","Hagraven Claw","0.3","20","Hagraven",""
"91","Grass Pod","0.1","1","Tundras",""
"92","Glowing Mushroom","0.2","5","Caves, Dwemer Ruins",""
"93","Glow Dust","0.5","20","Wispmother",""
"94","Gleamblossom","0.1","5","Harvested in Darkfall Cave, Forgotten Vale","1"
"95","Giant's Toe","1","20","Giants",""
"96","Giant Lichen","0.3","5","Swamps",""
"97","Daedra Heart","0.5","250","Daedra",""
"98","Garlic","0.3","1","Hanging in homes, businesses and cooking areas",""
"99","Frost Mirriam","0.1","1","Hanging in homes, businesses and giant camps",""
"100","Fly Amanita","0.1","2","Mushroom clusters in and around caves",""
"101","Fire Salts","0.3","50","Flame Atronach",""
"102","Felsaad Tern Feathers","0.1","15","Felsaad Tern","3"
"103","Falmer Ear","0.2","10","Falmer",""
"104","Eye of Sabre Cat","0.1","2","Sabre Cat, Snowy Sabre Cat",""
"105","Emperor Parasol Moss","0.3","1","Hanging from Emperor Parasol around Tel Mithryn.","3"
"106","Elves Ear","0.1","10","Plant, hanging herbs",""
"107","Ectoplasm","0.1","25","Ghostlike creatures",""
"108","Dwarven Oil","0.3","15","Dwemer Ruins",""
"109","Dragon's Tongue","0.1","5","Hydro-thermal areas",""
"110","Frost Salts","0.3","100","Frost Atronach",""
"111","Yellow Mountain Flower","0.1","2","Darkfall Cave, Ancestor Glade","1"
